 #  R                 Z
    0.34662255E+01   -0.23706845E+00
    0.22989015E+01    0.79743642E+00
    0.29347043E+01   -0.64819131E+00
    0.25804364E+01    0.11319196E+01
    0.25237758E+01   -0.53063798E+00
    0.30432646E+01    0.11637302E+01
    0.22713588E+01   -0.13491829E+00
    0.35494759E+01    0.58959315E+00
    0.22026540E+01    0.38609829E+00
    0.33872097E+01   -0.35568949E+00
    0.23326123E+01    0.86598813E+00
    0.28563702E+01   -0.65576394E+00
    0.26430126E+01    0.11626669E+01
    0.24719747E+01   -0.48118757E+00
    0.31336594E+01    0.11226302E+01
    0.22466405E+01   -0.54546683E-01
    0.35866786E+01    0.42633624E+00
    0.22106747E+01    0.47129705E+00
    0.32998001E+01   -0.45261702E+00
    0.23710964E+01    0.92984543E+00
    0.27825761E+01   -0.65145211E+00
    0.27107211E+01    0.11851326E+01
    0.24240360E+01   -0.42499659E+00
    0.32259142E+01    0.10631910E+01
    0.22269622E+01    0.28785356E-01
    0.35978730E+01    0.25474917E+00
    0.22240158E+01    0.55488026E+00
    0.32087786E+01   -0.52842891E+00
    0.24143475E+01    0.98848651E+00
    0.27132267E+01   -0.63641930E+00
    0.27836746E+01    0.11982729E+01
    0.23800893E+01   -0.36258714E+00
    0.33174399E+01    0.98306322E+00
    0.22125320E+01    0.11435917E+00
    0.35813704E+01    0.84077097E-01
    0.22425921E+01    0.63609645E+00
    0.31177425E+01   -0.58471514E+00
    0.24624174E+01    0.10414114E+01
    0.26481093E+01   -0.61162989E+00
    0.28618967E+01    0.12007988E+01
    0.23403339E+01   -0.29450555E+00
    0.34044619E+01    0.88036967E+00
    0.22035140E+01    0.20139892E+00
    0.35389274E+01   -0.76818840E-01
    0.22663163E+01    0.71429738E+00
    0.30291038E+01   -0.62343235E+00
    0.25153958E+01    0.10880754E+01
    0.25870588E+01   -0.57789896E+00
    0.29451979E+01    0.11911396E+01
    0.23050185E+01   -0.22134838E+00
    0.34819936E+01    0.75439218E+00
    0.22000107E+01    0.28916656E+00
    0.34751405E+01   -0.22099683E+00
    0.22950974E+01    0.78883802E+00
    0.29443436E+01   -0.64648454E+00
    0.25733659E+01    0.11278361E+01
    0.25299928E+01   -0.53594735E+00
    0.30331687E+01    0.11674030E+01
    0.22743903E+01   -0.14370685E+00
    0.35440026E+01    0.60669008E+00
    0.22020734E+01    0.37685028E+00
    0.33960760E+01   -0.34419777E+00
    0.23288520E+01    0.85910079E+00
    0.28641299E+01   -0.65561047E+00
    0.26365022E+01    0.11599965E+01
    0.24768527E+01   -0.48637873E+00
    0.31248518E+01    0.11273899E+01
    0.22487213E+01   -0.62263271E-01
    0.35843142E+01    0.44187426E+00
    0.22096967E+01    0.46367716E+00
    0.33077308E+01   -0.44497217E+00
    0.23675475E+01    0.92455310E+00
    0.27886200E+01   -0.65229785E+00
    0.27049081E+01    0.11836622E+01
    0.24277241E+01   -0.42979768E+00
    0.32186439E+01    0.10686349E+01
    0.22282528E+01    0.22298162E-01
    0.35980225E+01    0.26767900E+00
    0.22228281E+01    0.54885852E+00
    0.32152758E+01   -0.52376163E+00
    0.24111721E+01    0.98464561E+00
    0.27177214E+01   -0.63779209E+00
    0.27787230E+01    0.11977712E+01
    0.23827264E+01   -0.36675437E+00
    0.33118864E+01    0.98868746E+00
    0.22132098E+01    0.10918676E+00
    0.35830870E+01    0.93723781E-01
    0.22413858E+01    0.63165854E+00
    0.31225915E+01   -0.58220185E+00
    0.24597633E+01    0.10388414E+01
    0.26512543E+01   -0.61313955E+00
    0.28579711E+01    0.12009927E+01
    0.23420557E+01   -0.29781676E+00
    0.34007460E+01    0.88549638E+00
    0.22037533E+01    0.19765146E+00
    0.35411418E+01   -0.70555442E-01
    0.22652620E+01    0.71133151E+00
    0.30323254E+01   -0.62233599E+00
    0.25133983E+01    0.10865696E+01
    0.25890251E+01   -0.57921614E+00
    0.29424622E+01    0.11917014E+01
    0.23059757E+01   -0.22362523E+00
    0.34800163E+01    0.75827200E+00
    0.21999977E+01    0.28686648E+00
    0.34769204E+01   -0.21775214E+00
    0.22943603E+01    0.78722440E+00
    0.29460382E+01   -0.64620511E+00
    0.25722075E+01    0.11272010E+01
