 #  R                 Z
    0.29986926E+01    0.27514368E+00
    0.29937066E+01    0.24444091E+00
    0.29902655E+01    0.23314853E+00
    0.29885864E+01    0.22325794E+00
    0.29850099E+01    0.20585331E+00
    0.29803335E+01    0.19341669E+00
    0.29728434E+01    0.18991884E+00
    0.29694472E+01    0.19822107E+00
    0.29694300E+01    0.20533428E+00
    0.29706113E+01    0.20913998E+00
    0.29741313E+01    0.21334120E+00
    0.29797306E+01    0.21986826E+00
    0.29846919E+01    0.22743885E+00
    0.29872457E+01    0.23394553E+00
    0.29876830E+01    0.24115437E+00
    0.29850851E+01    0.25104683E+00
    0.29791558E+01    0.26191596E+00
    0.29707298E+01    0.26975109E+00
    0.29617765E+01    0.27666752E+00
    0.29576683E+01    0.28926816E+00
    0.29629476E+01    0.30337960E+00
    0.29727908E+01    0.31447877E+00
    0.29858253E+01    0.31637168E+00
    0.29924762E+01    0.31615892E+00
    0.29962795E+01    0.31017104E+00
    0.29980141E+01    0.29616928E+00
    0.29968706E+01    0.26980397E+00
    0.29919380E+01    0.25176818E+00
    0.29864058E+01    0.25531931E+00
    0.29794113E+01    0.26647836E+00
    0.29713135E+01    0.27391422E+00
    0.29644843E+01    0.27993496E+00
    0.29626345E+01    0.28934609E+00
    0.29668616E+01    0.30037111E+00
    0.29754133E+01    0.31200721E+00
    0.29875081E+01    0.31335354E+00
    0.29938545E+01    0.31161976E+00
    0.29972229E+01    0.30335312E+00
    0.29981095E+01    0.28476599E+00
    0.29948372E+01    0.25577782E+00
    0.29895388E+01    0.25094438E+00
    0.29835723E+01    0.26003247E+00
    0.29759018E+01    0.27023515E+00
    0.29680354E+01    0.27527970E+00
    0.29629333E+01    0.28317393E+00
    0.29642240E+01    0.29393168E+00
    0.29706312E+01    0.30317541E+00
    0.29807821E+01    0.31277357E+00
    0.29893853E+01    0.31917328E+00
    0.29950174E+01    0.32144763E+00
    0.29992246E+01    0.31771141E+00
    0.30016570E+01    0.30824903E+00
    0.30012018E+01    0.29528101E+00
    0.29988273E+01    0.27019731E+00
    0.29926482E+01    0.23973676E+00
    0.29887318E+01    0.22673836E+00
    0.29852771E+01    0.21104909E+00
    0.29809289E+01    0.19501892E+00
    0.29742250E+01    0.18721761E+00
    0.29675260E+01    0.19054166E+00
    0.29667400E+01    0.19999231E+00
    0.29666992E+01    0.20467135E+00
    0.29676735E+01    0.20713983E+00
    0.29706466E+01    0.21011567E+00
    0.29760014E+01    0.21539035E+00
    0.29818179E+01    0.22285192E+00
    0.29853606E+01    0.23020450E+00
    0.29863400E+01    0.23817313E+00
    0.29839677E+01    0.24846497E+00
    0.29782958E+01    0.25957406E+00
    0.29699760E+01    0.26750261E+00
    0.29612508E+01    0.27512861E+00
    0.29578526E+01    0.28834798E+00
    0.29640461E+01    0.30260295E+00
    0.29746737E+01    0.31420186E+00
    0.29868865E+01    0.31927122E+00
    0.29934560E+01    0.32326129E+00
    0.29983372E+01    0.32161923E+00
    0.30023718E+01    0.31081420E+00
    0.30021707E+01    0.29872740E+00
    0.30000329E+01    0.27739141E+00
    0.29943806E+01    0.24343038E+00
    0.29889711E+01    0.22377426E+00
    0.29841354E+01    0.20335590E+00
    0.29796336E+01    0.19022575E+00
    0.29721975E+01    0.18526448E+00
    0.29661364E+01    0.19186872E+00
    0.29646241E+01    0.20045285E+00
    0.29610711E+01    0.20241545E+00
    0.29565932E+01    0.20328245E+00
    0.29552215E+01    0.20680304E+00
    0.29586118E+01    0.21057530E+00
    0.29632159E+01    0.21203674E+00
    0.29665699E+01    0.21133770E+00
    0.29704042E+01    0.21244230E+00
    0.29761427E+01    0.21732775E+00
    0.29820115E+01    0.22550611E+00
    0.29850358E+01    0.23484136E+00
    0.29840407E+01    0.24530457E+00
    0.29792163E+01    0.25616394E+00
    0.29715351E+01    0.26510509E+00
    0.29623008E+01    0.27223582E+00
    0.29569845E+01    0.28572244E+00
    0.29621173E+01    0.29897500E+00
    0.29716399E+01    0.30938500E+00
    0.29852417E+01    0.31005022E+00
    0.29923835E+01    0.31075357E+00
    0.29966198E+01    0.30426449E+00
    0.29981319E+01    0.28828720E+00
    0.29955770E+01    0.26107589E+00
    0.29899540E+01    0.25205195E+00
    0.29837589E+01    0.26059939E+00
    0.29761371E+01    0.27091174E+00
    0.29688105E+01    0.27680761E+00
    0.29643127E+01    0.28395319E+00
    0.29654828E+01    0.29374376E+00
    0.29714124E+01    0.30232122E+00
    0.29810880E+01    0.31143451E+00
    0.29897461E+01    0.31649902E+00
    0.29952487E+01    0.31679409E+00
    0.29986106E+01    0.31216059E+00
    0.30000110E+01    0.30264965E+00
    0.29995240E+01    0.28447084E+00
    0.29955084E+01    0.25386060E+00
    0.29902182E+01    0.24243655E+00
    0.29868281E+01    0.24846102E+00
    0.29810476E+01    0.25928680E+00
    0.29731895E+01    0.26856703E+00
    0.29648167E+01    0.27472420E+00
    0.29601658E+01    0.28451061E+00
    0.29633564E+01    0.29652010E+00
    0.29713569E+01    0.30626606E+00
    0.29832747E+01    0.31129437E+00
    0.29910119E+01    0.31513826E+00
    0.29959824E+01    0.31342478E+00
    0.29986687E+01    0.30639619E+00
    0.29993511E+01    0.29206747E+00
    0.29970631E+01    0.26512519E+00
    0.29913872E+01    0.24596855E+00
    0.29870792E+01    0.25070508E+00
    0.29808181E+01    0.26157237E+00
    0.29728142E+01    0.27037777E+00
    0.29649673E+01    0.27640640E+00
    0.29612795E+01    0.28572240E+00
    0.29647343E+01    0.29773458E+00
    0.29730060E+01    0.30709745E+00
    0.29853907E+01    0.30718240E+00
    0.29923183E+01    0.30656663E+00
    0.29963528E+01    0.29624775E+00
    0.29965108E+01    0.27452703E+00
    0.29921511E+01    0.25387143E+00
    0.29861759E+01    0.25860054E+00
    0.29788516E+01    0.26967946E+00
    0.29715503E+01    0.27677205E+00
    0.29664884E+01    0.28233040E+00
    0.29658449E+01    0.29050390E+00
    0.29698983E+01    0.29878691E+00
    0.29777704E+01    0.31063529E+00
    0.29887054E+01    0.31245985E+00
    0.29947060E+01    0.31018047E+00
    0.29977580E+01    0.30135859E+00
    0.29982293E+01    0.28198815E+00
    0.29943761E+01    0.25286848E+00
    0.29892121E+01    0.24901365E+00
    0.29835154E+01    0.25824578E+00
    0.29760133E+01    0.26866814E+00
    0.29679983E+01    0.27466012E+00
    0.29625657E+01    0.28257827E+00
    0.29636305E+01    0.29333027E+00
    0.29699230E+01    0.30311210E+00
    0.29800383E+01    0.31368211E+00
    0.29888038E+01    0.32119185E+00
    0.29946261E+01    0.32496431E+00
    0.29999980E+01    0.31973010E+00
    0.30032059E+01    0.30703016E+00
    0.30019559E+01    0.29325695E+00
    0.29988366E+01    0.26672734E+00
    0.29921815E+01    0.23620847E+00
    0.29876328E+01    0.21820357E+00
    0.29831624E+01    0.19889933E+00
    0.29779994E+01    0.18806076E+00
    0.29699305E+01    0.18548269E+00
    0.29653830E+01    0.19461438E+00
    0.29630572E+01    0.20112621E+00
    0.29574392E+01    0.20165155E+00
    0.29538120E+01    0.20514989E+00
    0.29565886E+01    0.21028334E+00
    0.29621669E+01    0.21310329E+00
    0.29668246E+01    0.21317968E+00
    0.29714219E+01    0.21439444E+00
    0.29775705E+01    0.22002980E+00
    0.29828649E+01    0.22899360E+00
    0.29845072E+01    0.23926480E+00
    0.29816472E+01    0.24989454E+00
    0.29757043E+01    0.26057207E+00
    0.29668899E+01    0.26755955E+00
    0.29584044E+01    0.27738582E+00
    0.29576467E+01    0.29145886E+00
    0.29660907E+01    0.30683796E+00
    0.29787618E+01    0.31891476E+00
    0.29876308E+01    0.33094446E+00
    0.29942264E+01    0.33817504E+00
    0.30048506E+01    0.32477529E+00
    0.30100853E+01    0.30640478E+00
    0.30091546E+01    0.28615487E+00
    0.30029291E+01    0.26624963E+00
    0.29942594E+01    0.22846735E+00
    0.29902927E+01    0.20264333E+00
    0.29975016E+01    0.19856102E+00
    0.30037582E+01    0.18962155E+00
    0.30081734E+01    0.18199367E+00
    0.30128273E+01    0.17789263E+00
    0.30180346E+01    0.17565896E+00
    0.30259389E+01    0.17661500E+00
    0.30323135E+01    0.17237953E+00
    0.30335527E+01    0.16298778E+00
    0.30297794E+01    0.15252087E+00
    0.30219182E+01    0.14320205E+00
    0.30058906E+01    0.13128423E+00
    0.29952660E+01    0.13404670E+00
    0.29987991E+01    0.14784939E+00
