 #  R                 Z
    0.29961937E+01    0.31285390E+00
    0.29908483E+01    0.32502442E+00
    0.29843006E+01    0.33583089E+00
    0.29766075E+01    0.34534779E+00
    0.29677008E+01    0.35359520E+00
    0.29581962E+01    0.36001583E+00
    0.29480392E+01    0.36472791E+00
    0.29374162E+01    0.36762326E+00
    0.29268531E+01    0.36861635E+00
    0.29160967E+01    0.36773692E+00
    0.29058197E+01    0.36505850E+00
    0.28960162E+01    0.36065582E+00
    0.28866872E+01    0.35448916E+00
    0.28783374E+01    0.34692630E+00
    0.28710015E+01    0.33810358E+00
    0.28647322E+01    0.32813315E+00
    0.28596378E+01    0.31721629E+00
    0.28557948E+01    0.30554700E+00
    0.28532611E+01    0.29331536E+00
    0.28520827E+01    0.28069648E+00
    0.28522952E+01    0.26795406E+00
    0.28539009E+01    0.25532860E+00
    0.28568605E+01    0.24310667E+00
    0.28610849E+01    0.23156377E+00
    0.28665232E+01    0.22081425E+00
    0.28730980E+01    0.21103660E+00
    0.28806727E+01    0.20244808E+00
    0.28891237E+01    0.19519831E+00
    0.28983274E+01    0.18941397E+00
    0.29081003E+01    0.18523077E+00
    0.29182787E+01    0.18273557E+00
    0.29287152E+01    0.18199508E+00
    0.29391623E+01    0.18305401E+00
    0.29494651E+01    0.18592356E+00
    0.29594095E+01    0.19058411E+00
    0.29687350E+01    0.19694101E+00
    0.29773192E+01    0.20494439E+00
    0.29849716E+01    0.21449479E+00
    0.29914371E+01    0.22533789E+00
    0.29965187E+01    0.23712451E+00
    0.30001895E+01    0.24977251E+00
    0.30023467E+01    0.26304684E+00
    0.30029097E+01    0.27660678E+00
    0.30018622E+01    0.29011826E+00
    0.29992403E+01    0.30327160E+00
    0.29951373E+01    0.31574139E+00
    0.29896454E+01    0.32734183E+00
    0.29827748E+01    0.33800794E+00
    0.29746594E+01    0.34743306E+00
    0.29657854E+01    0.35512005E+00
    0.29559959E+01    0.36126177E+00
    0.29457203E+01    0.36557811E+00
    0.29352312E+01    0.36802829E+00
    0.29243886E+01    0.36862911E+00
    0.29139174E+01    0.36737408E+00
    0.29036497E+01    0.36429799E+00
    0.28938306E+01    0.35944699E+00
    0.28848728E+01    0.35309249E+00
    0.28767523E+01    0.34529161E+00
    0.28695350E+01    0.33608714E+00
    0.28633851E+01    0.32562854E+00
    0.28585298E+01    0.31435305E+00
    0.28549914E+01    0.30242537E+00
    0.28527972E+01    0.28998728E+00
    0.28519877E+01    0.27727769E+00
    0.28525784E+01    0.26451755E+00
    0.28545543E+01    0.25197944E+00
    0.28578648E+01    0.23991504E+00
    0.28624219E+01    0.22857209E+00
    0.28681839E+01    0.21805297E+00
    0.28750423E+01    0.20857874E+00
    0.28828588E+01    0.20034484E+00
    0.28915387E+01    0.19346835E+00
    0.29008969E+01    0.18811368E+00
    0.29108138E+01    0.18437060E+00
    0.29210713E+01    0.18234377E+00
    0.29315460E+01    0.18208642E+00
    0.29419675E+01    0.18363322E+00
    0.29522012E+01    0.18699197E+00
    0.29620016E+01    0.19212166E+00
    0.29711426E+01    0.19893027E+00
    0.29795047E+01    0.20737463E+00
    0.29868540E+01    0.21729697E+00
    0.29929495E+01    0.22840658E+00
    0.29976545E+01    0.24042367E+00
    0.30009379E+01    0.25329871E+00
    0.30026722E+01    0.26670129E+00
    0.30027980E+01    0.28030208E+00
    0.30013156E+01    0.29375425E+00
