 #  R                 Z
    0.30009987E+01    0.23871069E+00
    0.29890484E+01    0.27411862E+00
    0.29669407E+01    0.29906089E+00
    0.29395798E+01    0.30883178E+00
    0.29124519E+01    0.30211538E+00
    0.28905597E+01    0.28066706E+00
    0.28776799E+01    0.24869992E+00
    0.28759825E+01    0.21201816E+00
    0.28858606E+01    0.17734423E+00
    0.29057403E+01    0.15122086E+00
    0.29322191E+01    0.13885137E+00
    0.29603960E+01    0.14315224E+00
    0.29845080E+01    0.16378728E+00
    0.29993057E+01    0.19683168E+00
    0.30014429E+01    0.23543397E+00
    0.29905379E+01    0.27139863E+00
    0.29691461E+01    0.29746377E+00
    0.29420383E+01    0.30864907E+00
    0.29146498E+01    0.30333038E+00
    0.28921115E+01    0.28298342E+00
    0.28783393E+01    0.25163594E+00
    0.28756640E+01    0.21514328E+00
    0.28845925E+01    0.18003967E+00
    0.29037306E+01    0.15296130E+00
    0.29298395E+01    0.13926596E+00
    0.29580947E+01    0.14212099E+00
    0.29827630E+01    0.16146974E+00
    0.29985167E+01    0.19369194E+00
    0.30017942E+01    0.23211720E+00
    0.29919363E+01    0.26863133E+00
    0.29713041E+01    0.29575778E+00
    0.29444222E+01    0.30834781E+00
    0.29168092E+01    0.30439333E+00
    0.28936738E+01    0.28514518E+00
    0.28790758E+01    0.25452942E+00
    0.28754330E+01    0.21823625E+00
    0.28833999E+01    0.18279458E+00
    0.29017774E+01    0.15479579E+00
    0.29274738E+01    0.13980189E+00
    0.29557609E+01    0.14120771E+00
    0.29809503E+01    0.15924615E+00
    0.29976324E+01    0.19058966E+00
    0.30020456E+01    0.22879491E+00
    0.29932315E+01    0.26584049E+00
    0.29733342E+01    0.29400722E+00
    0.29467574E+01    0.30793413E+00
    0.29190356E+01    0.30536429E+00
    0.28953860E+01    0.28734179E+00
    0.28799376E+01    0.25754195E+00
    0.28752807E+01    0.22142814E+00
    0.28822618E+01    0.18565879E+00
    0.28998467E+01    0.15675612E+00
    0.29250819E+01    0.14046878E+00
    0.29533623E+01    0.14040158E+00
    0.29790433E+01    0.15708389E+00
    0.29966436E+01    0.18749726E+00
    0.30021991E+01    0.22543717E+00
    0.29944792E+01    0.26290968E+00
    0.29753483E+01    0.29212630E+00
    0.29491681E+01    0.30738271E+00
    0.29213440E+01    0.30624018E+00
    0.28971576E+01    0.28944423E+00
    0.28808656E+01    0.26045185E+00
    0.28752163E+01    0.22460909E+00
    0.28812282E+01    0.18850314E+00
    0.28980117E+01    0.15876676E+00
    0.29227674E+01    0.14123686E+00
    0.29509923E+01    0.13973340E+00
    0.29771157E+01    0.15506580E+00
    0.29955879E+01    0.18452579E+00
    0.30022532E+01    0.22213243E+00
    0.29956266E+01    0.25996116E+00
    0.29773370E+01    0.29012248E+00
    0.29515649E+01    0.30671389E+00
    0.29236253E+01    0.30698236E+00
    0.28989079E+01    0.29136837E+00
    0.28818116E+01    0.26314251E+00
    0.28752370E+01    0.22767224E+00
    0.28803013E+01    0.19130650E+00
    0.28962835E+01    0.16080792E+00
    0.29205274E+01    0.14210243E+00
    0.29486538E+01    0.13919990E+00
    0.29751846E+01    0.15320348E+00
    0.29944802E+01    0.18170237E+00
    0.30022115E+01    0.21892947E+00
    0.29966704E+01    0.25700893E+00
    0.29792466E+01    0.28804301E+00
