 #  R                 Z
    0.33559397E+01    0.96781854E+00
    0.23598198E+01   -0.48147577E+00
    0.27807380E+01    0.12539335E+01
    0.25918882E+01   -0.77528861E+00
    0.25411302E+01    0.12030080E+01
    0.27656458E+01   -0.84466208E+00
    0.23953701E+01    0.10593604E+01
    0.30941995E+01   -0.75461555E+00
    0.22351366E+01    0.70780717E+00
    0.35861966E+01   -0.19868807E+00
    0.21847808E+01    0.15348129E+00
    0.34507635E+01    0.88207439E+00
    0.22489591E+01   -0.28782547E+00
    0.31448037E+01    0.11729657E+01
    0.23420502E+01   -0.51400655E+00
    0.29319411E+01    0.12948445E+01
    0.23266326E+01   -0.55446075E+00
    0.30829652E+01    0.12631594E+01
    0.22139324E+01   -0.32816866E+00
    0.34957079E+01    0.91289244E+00
    0.21131125E+01    0.17133282E+00
    0.36140139E+01   -0.28802996E+00
    0.21723847E+01    0.73300484E+00
    0.31123271E+01   -0.82484843E+00
    0.23061184E+01    0.10540200E+01
    0.27996659E+01   -0.91177208E+00
    0.24444782E+01    0.12014050E+01
    0.26520151E+01   -0.88178762E+00
    0.25679180E+01    0.12960289E+01
    0.24752462E+01   -0.79641485E+00
    0.28200329E+01    0.13523160E+01
    0.22796046E+01   -0.52855477E+00
    0.33247544E+01    0.11145508E+01
    0.21256657E+01    0.38147321E-02
    0.36994829E+01    0.60315381E-02
    0.21413505E+01    0.56700936E+00
    0.32898647E+01   -0.70441577E+00
    0.22372078E+01    0.87478339E+00
    0.30804875E+01   -0.81606612E+00
    0.22916589E+01    0.98039057E+00
    0.29881840E+01   -0.84614646E+00
    0.23191697E+01    0.10116046E+01
    0.29944838E+01   -0.83353142E+00
    0.23057170E+01    0.97109480E+00
    0.30912168E+01   -0.78474404E+00
    0.22595971E+01    0.85221163E+00
    0.33012372E+01   -0.63444586E+00
    0.21941911E+01    0.51176811E+00
    0.36556376E+01    0.15642874E+00
    0.22285404E+01   -0.10354729E+00
    0.31126573E+01    0.11493739E+01
    0.24885435E+01   -0.65655080E+00
    0.25853471E+01    0.11647290E+01
    0.30120519E+01   -0.75593387E+00
    0.22424561E+01    0.66546892E+00
    0.36368587E+01    0.96567181E-01
    0.22684839E+01   -0.18826666E+00
    0.29275317E+01    0.12231733E+01
    0.25606427E+01   -0.73137245E+00
    0.25412672E+01    0.11758566E+01
    0.28923500E+01   -0.81442794E+00
    0.23037661E+01    0.87396414E+00
    0.34521377E+01   -0.43065478E+00
    0.21961549E+01    0.20658401E+00
    0.33945156E+01    0.93273255E+00
    0.23208356E+01   -0.42014158E+00
    0.28956663E+01    0.12734818E+01
    0.24248633E+01   -0.66487675E+00
    0.27952909E+01    0.13060709E+01
    0.24109555E+01   -0.68234979E+00
    0.28902714E+01    0.13339840E+01
    0.22710222E+01   -0.49048658E+00
    0.33123782E+01    0.11160626E+01
    0.21408165E+01   -0.59736948E-01
    0.37062764E+01    0.24625963E+00
    0.21311901E+01    0.37043479E+00
    0.35582371E+01   -0.36839917E+00
    0.21720237E+01    0.64730221E+00
    0.33454160E+01   -0.62999883E+00
    0.22014188E+01    0.67974567E+00
    0.34749802E+01   -0.44871342E+00
    0.21731588E+01    0.43376937E+00
    0.36651844E+01    0.13109587E+00
    0.21963665E+01    0.35842143E-02
    0.33252158E+01    0.10242364E+01
    0.23086284E+01   -0.42204631E+00
    0.29668407E+01    0.12698136E+01
    0.23539566E+01   -0.57703132E+00
    0.29809241E+01    0.13036058E+01
    0.22523154E+01   -0.42994050E+00
    0.33426090E+01    0.10826017E+01
    0.21437229E+01   -0.56764471E-01
    0.37000456E+01    0.30028702E+00
    0.21324923E+01    0.31750915E+00
    0.36246179E+01   -0.21621255E+00
    0.21553623E+01    0.55056965E+00
    0.34399912E+01   -0.52975279E+00
    0.21856594E+01    0.63159850E+00
    0.34860889E+01   -0.44190110E+00
    0.21716548E+01    0.47464750E+00
    0.36496253E+01   -0.43120781E-01
    0.21668352E+01    0.19452471E+00
    0.35940176E+01    0.61700687E+00
    0.22043905E+01   -0.12818797E+00
    0.33329643E+01    0.10396095E+01
    0.22478186E+01   -0.32110810E+00
    0.31972834E+01    0.11538001E+01
    0.22855510E+01   -0.42070739E+00
    0.30952049E+01    0.12250132E+01
    0.22898013E+01   -0.45505937E+00
    0.31229231E+01    0.12197312E+01
    0.22565292E+01   -0.39434139E+00
    0.32451937E+01    0.11412922E+01
    0.22144472E+01   -0.28102105E+00
    0.34245892E+01    0.98533451E+00
