 #  R                 Z
    0.29996915E+01    0.21775434E+00
    0.29934442E+01    0.23321405E+00
    0.29826762E+01    0.24333698E+00
    0.29697385E+01    0.24614239E+00
    0.29574283E+01    0.24134984E+00
    0.29482247E+01    0.23129013E+00
    0.29425319E+01    0.21990639E+00
    0.29394085E+01    0.20023627E+00
    0.29431511E+01    0.18356414E+00
    0.29532115E+01    0.17033172E+00
    0.29669985E+01    0.16439437E+00
    0.29816559E+01    0.16717994E+00
    0.29941710E+01    0.17827067E+00
    0.30018179E+01    0.19541210E+00
    0.30028984E+01    0.21491990E+00
    0.29972669E+01    0.23265229E+00
    0.29862514E+01    0.24509938E+00
    0.29722655E+01    0.24982146E+00
    0.29581201E+01    0.24625079E+00
    0.29467319E+01    0.23576256E+00
    0.29382159E+01    0.21986365E+00
    0.29315818E+01    0.20242315E+00
    0.29352339E+01    0.18174852E+00
    0.29459185E+01    0.16440477E+00
    0.29617128E+01    0.15512019E+00
    0.29793270E+01    0.15604083E+00
    0.29952491E+01    0.16725569E+00
    0.30059288E+01    0.18640332E+00
    0.30090335E+01    0.20945058E+00
    0.30039092E+01    0.23159789E+00
    0.29918080E+01    0.24806150E+00
    0.29753816E+01    0.25581537E+00
    0.29580662E+01    0.25341490E+00
    0.29431724E+01    0.24181534E+00
    0.29341721E+01    0.22251514E+00
    0.29303005E+01    0.20724333E+00
    0.29319447E+01    0.18550565E+00
    0.29417718E+01    0.16599765E+00
    0.29574509E+01    0.15419665E+00
    0.29757715E+01    0.15281163E+00
    0.29930859E+01    0.16232003E+00
    0.30056463E+01    0.18076298E+00
    0.30107264E+01    0.20430231E+00
    0.30072172E+01    0.22800776E+00
    0.29959605E+01    0.24688939E+00
    0.29794791E+01    0.25716293E+00
    0.29613756E+01    0.25684045E+00
    0.29452411E+01    0.24652735E+00
    0.29344977E+01    0.22853730E+00
    0.29337035E+01    0.21050900E+00
    0.29335088E+01    0.19057493E+00
    0.29416830E+01    0.17160292E+00
    0.29553326E+01    0.15902825E+00
    0.29721582E+01    0.15579851E+00
    0.29887774E+01    0.16286817E+00
    0.30015390E+01    0.17877281E+00
    0.30076797E+01    0.20020826E+00
    0.30058594E+01    0.22265057E+00
    0.29965608E+01    0.24133842E+00
    0.29819014E+01    0.25254973E+00
    0.29651305E+01    0.25405305E+00
    0.29496242E+01    0.24612222E+00
    0.29383165E+01    0.23097598E+00
    0.29375505E+01    0.21109909E+00
    0.29360530E+01    0.19333391E+00
    0.29418616E+01    0.17585531E+00
    0.29530596E+01    0.16314907E+00
    0.29678135E+01    0.15836680E+00
    0.29829659E+01    0.16264294E+00
    0.29954292E+01    0.17532991E+00
    0.30023796E+01    0.19368853E+00
    0.30023387E+01    0.21382978E+00
    0.29954272E+01    0.23148605E+00
    0.29832187E+01    0.24328452E+00
    0.29683855E+01    0.24677405E+00
    0.29541556E+01    0.24162381E+00
    0.29434540E+01    0.23012072E+00
    0.29398266E+01    0.20891094E+00
    0.29390501E+01    0.19264054E+00
    0.29446550E+01    0.17680832E+00
    0.29552680E+01    0.16558726E+00
    0.29690144E+01    0.16182447E+00
    0.29828335E+01    0.16633545E+00
    0.29939722E+01    0.17837074E+00
    0.29999828E+01    0.19544085E+00
    0.29995659E+01    0.21388975E+00
    0.29929291E+01    0.22988578E+00
    0.29815925E+01    0.24030861E+00
    0.29679747E+01    0.24318732E+00
    0.29551747E+01    0.23815040E+00
    0.29461981E+01    0.22760988E+00
    0.29425349E+01    0.21280087E+00
    0.29404828E+01    0.19722969E+00
    0.29437095E+01    0.18179623E+00
    0.29527017E+01    0.16952912E+00
    0.29652566E+01    0.16379715E+00
    0.29787193E+01    0.16594070E+00
    0.29903088E+01    0.17556786E+00
    0.29975944E+01    0.19077652E+00
    0.29989959E+01    0.20835182E+00
    0.29942895E+01    0.22464564E+00
    0.29845808E+01    0.23640492E+00
    0.29720081E+01    0.24130134E+00
    0.29593308E+01    0.23859051E+00
    0.29492391E+01    0.23017085E+00
    0.29426118E+01    0.21994043E+00
    0.29377355E+01    0.20084962E+00
    0.29398303E+01    0.18389923E+00
    0.29484726E+01    0.16921903E+00
    0.29615119E+01    0.16108850E+00
    0.29762414E+01    0.16140010E+00
    0.29896618E+01    0.17023463E+00
    0.29988880E+01    0.18584419E+00
    0.30018767E+01    0.20490003E+00
    0.29980508E+01    0.22330880E+00
    0.29883673E+01    0.23744004E+00
    0.29750090E+01    0.24437866E+00
    0.29607304E+01    0.24318233E+00
    0.29484773E+01    0.23482148E+00
    0.29396588E+01    0.22238552E+00
    0.29311641E+01    0.20335702E+00
    0.29330879E+01    0.18294597E+00
    0.29422602E+01    0.16477736E+00
    0.29570277E+01    0.15383873E+00
    0.29741967E+01    0.15258186E+00
    0.29904266E+01    0.16146721E+00
    0.30021602E+01    0.17866973E+00
    0.30068405E+01    0.20059387E+00
    0.30034704E+01    0.22262339E+00
    0.29929157E+01    0.24003911E+00
    0.29774810E+01    0.24965171E+00
    0.29604298E+01    0.24951066E+00
    0.29450716E+01    0.24019870E+00
    0.29348949E+01    0.22288709E+00
    0.29305169E+01    0.20983492E+00
    0.29296082E+01    0.18878484E+00
    0.29373134E+01    0.16817615E+00
    0.29512955E+01    0.15401600E+00
    0.29688353E+01    0.14941672E+00
    0.29865961E+01    0.15556349E+00
    0.30007076E+01    0.17123319E+00
    0.30081124E+01    0.19319288E+00
    0.30071853E+01    0.21684148E+00
    0.29981838E+01    0.23720992E+00
    0.29831708E+01    0.25009163E+00
    0.29654770E+01    0.25295363E+00
    0.29486928E+01    0.24576265E+00
    0.29362652E+01    0.23028578E+00
    0.29400177E+01    0.21914755E+00
    0.29311078E+01    0.20225089E+00
    0.29317784E+01    0.18288765E+00
    0.29393009E+01    0.16492820E+00
    0.29525456E+01    0.15313761E+00
    0.29686046E+01    0.15012344E+00
    0.29844218E+01    0.15670779E+00
    0.29964872E+01    0.17152041E+00
    0.30022181E+01    0.19151583E+00
    0.30003854E+01    0.21241146E+00
    0.29915161E+01    0.22988843E+00
    0.29776365E+01    0.24040205E+00
    0.29616865E+01    0.24213932E+00
    0.29467664E+01    0.23552164E+00
    0.29358269E+01    0.22087325E+00
    0.29279437E+01    0.20981137E+00
    0.29260252E+01    0.18822325E+00
    0.29322187E+01    0.16664017E+00
    0.29454114E+01    0.15072678E+00
    0.29627832E+01    0.14398178E+00
    0.29811257E+01    0.14796457E+00
    0.29964358E+01    0.16189950E+00
    0.30054428E+01    0.18294588E+00
    0.30061819E+01    0.20674136E+00
    0.29985372E+01    0.22826764E+00
    0.29842756E+01    0.24306734E+00
    0.29665255E+01    0.24822849E+00
    0.29489284E+01    0.24317339E+00
    0.29355172E+01    0.22867229E+00
    0.29311273E+01    0.21347465E+00
    0.29269285E+01    0.19395004E+00
    0.29314122E+01    0.17240345E+00
    0.29425671E+01    0.15538647E+00
    0.29585836E+01    0.14650500E+00
    0.29764111E+01    0.14779721E+00
    0.29922125E+01    0.15907925E+00
    0.30026149E+01    0.17807429E+00
    0.30053408E+01    0.20081572E+00
    0.29998418E+01    0.22252727E+00
    0.29874156E+01    0.23868416E+00
    0.29708381E+01    0.24603471E+00
    0.29536410E+01    0.24347541E+00
    0.29392318E+01    0.23211013E+00
    0.29383690E+01    0.22115441E+00
    0.29383286E+01    0.22119455E+00
    0.29383285E+01    0.22119455E+00
    0.29383285E+01    0.22119456E+00
    0.29383284E+01    0.22119456E+00
    0.29383283E+01    0.22119457E+00
    0.29383282E+01    0.22119458E+00
    0.29383281E+01    0.22119458E+00
    0.29383279E+01    0.22119459E+00
    0.29383277E+01    0.22119461E+00
    0.29383274E+01    0.22119463E+00
    0.29383269E+01    0.22119418E+00
    0.29383245E+01    0.22119522E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
    0.29376638E+01    0.22107339E+00
