 #  R                 Z
    0.29895167E+01    0.23743426E+00
    0.29656840E+01    0.26474347E+00
    0.29341758E+01    0.27282860E+00
    0.29047120E+01    0.26001694E+00
    0.28839313E+01    0.23284600E+00
    0.28741405E+01    0.19824103E+00
    0.28758443E+01    0.16284290E+00
    0.28879126E+01    0.13249514E+00
    0.29079686E+01    0.11169570E+00
    0.29327241E+01    0.10343343E+00
    0.29582540E+01    0.10906305E+00
    0.29805720E+01    0.12811609E+00
    0.29957490E+01    0.15833661E+00
    0.30003139E+01    0.19591435E+00
    0.29913119E+01    0.23380007E+00
    0.29686946E+01    0.26269526E+00
    0.29375410E+01    0.27305872E+00
    0.29074165E+01    0.26216010E+00
    0.28855795E+01    0.23611172E+00
    0.28746134E+01    0.20189993E+00
    0.28751511E+01    0.16634640E+00
    0.28862942E+01    0.13520183E+00
    0.29056686E+01    0.11328540E+00
    0.29300543E+01    0.10367250E+00
    0.29557138E+01    0.10786242E+00
    0.29786074E+01    0.12566027E+00
    0.29947075E+01    0.15499177E+00
    0.30004521E+01    0.19208844E+00
    0.29928328E+01    0.23031806E+00
    0.29714516E+01    0.26052236E+00
    0.29407282E+01    0.27302122E+00
    0.29101170E+01    0.26406295E+00
    0.28872829E+01    0.23915267E+00
    0.28751913E+01    0.20540701E+00
    0.28746298E+01    0.16971834E+00
    0.28847936E+01    0.13794043E+00
    0.29034845E+01    0.11495548E+00
    0.29275370E+01    0.10403929E+00
    0.29532512E+01    0.10685234E+00
    0.29765349E+01    0.12333206E+00
    0.29934759E+01    0.15163300E+00
    0.30004028E+01    0.18813216E+00
    0.29942259E+01    0.22654704E+00
    0.29741763E+01    0.25803342E+00
    0.29440474E+01    0.27268933E+00
    0.29129976E+01    0.26578176E+00
    0.28891856E+01    0.24212937E+00
    0.28759599E+01    0.20895892E+00
    0.28742318E+01    0.17328842E+00
    0.28833878E+01    0.14087814E+00
    0.29013626E+01    0.11683326E+00
    0.29250446E+01    0.10462193E+00
    0.29507087E+01    0.10604667E+00
    0.29744137E+01    0.12121734E+00
    0.29921072E+01    0.14842038E+00
    0.30001702E+01    0.18424577E+00
    0.29954127E+01    0.22275015E+00
    0.29767134E+01    0.25539306E+00
    0.29472868E+01    0.27209549E+00
    0.29159257E+01    0.26727559E+00
    0.28911945E+01    0.24497815E+00
    0.28768554E+01    0.21247441E+00
    0.28739764E+01    0.17685086E+00
    0.28820759E+01    0.14392355E+00
    0.28992217E+01    0.11889246E+00
    0.29224828E+01    0.10534942E+00
    0.29480904E+01    0.10534504E+00
    0.29721479E+01    0.11913274E+00
    0.29906737E+01    0.14527409E+00
    0.29998536E+01    0.18042712E+00
    0.29964796E+01    0.21901486E+00
    0.29791089E+01    0.25272297E+00
    0.29504247E+01    0.27137172E+00
    0.29188006E+01    0.26861335E+00
    0.28932029E+01    0.24771712E+00
    0.28777633E+01    0.21598660E+00
    0.28737539E+01    0.18034881E+00
    0.28808517E+01    0.14687128E+00
    0.28972237E+01    0.12089265E+00
    0.29199853E+01    0.10612264E+00
    0.29455722E+01    0.10472977E+00
    0.29699286E+01    0.11717748E+00
    0.29891631E+01    0.14218110E+00
    0.29994303E+01    0.17660700E+00
    0.29974372E+01    0.21515767E+00
    0.29814509E+01    0.24984999E+00
    0.29535856E+01    0.27043546E+00
    0.29218270E+01    0.26984015E+00
    0.28953577E+01    0.25043908E+00
    0.28788062E+01    0.21952155E+00
    0.28736290E+01    0.18395626E+00
    0.28796519E+01    0.15000587E+00
    0.28952409E+01    0.12303796E+00
    0.29175099E+01    0.10702669E+00
    0.29430005E+01    0.10424084E+00
    0.29676946E+01    0.11535267E+00
    0.29876508E+01    0.13927072E+00
    0.29989446E+01    0.17298454E+00
    0.29982554E+01    0.21150341E+00
    0.29835954E+01    0.24701441E+00
    0.29566206E+01    0.26935485E+00
    0.29247413E+01    0.27084728E+00
    0.28974814E+01    0.25293680E+00
    0.28798825E+01    0.22281336E+00
    0.28735943E+01    0.18738711E+00
    0.28786049E+01    0.15299687E+00
    0.28933739E+01    0.12516810E+00
    0.29151650E+01    0.10796768E+00
    0.29404949E+01    0.10385317E+00
    0.29654536E+01    0.11364126E+00
    0.29860600E+01    0.13642830E+00
    0.29983298E+01    0.16933480E+00
    0.29989569E+01    0.20776171E+00
    0.29856531E+01    0.24401549E+00
    0.29596347E+01    0.26806822E+00
    0.29277924E+01    0.27171187E+00
    0.28997519E+01    0.25539398E+00
    0.28810900E+01    0.22624404E+00
    0.28736231E+01    0.19101805E+00
    0.28775599E+01    0.15618522E+00
    0.28914589E+01    0.12747064E+00
    0.29127283E+01    0.10903148E+00
    0.29378941E+01    0.10353151E+00
    0.29630959E+01    0.11193928E+00
    0.29843002E+01    0.13348699E+00
    0.29976119E+01    0.16557493E+00
    0.29995883E+01    0.20384744E+00
    0.29876999E+01    0.24077997E+00
    0.29627412E+01    0.26653276E+00
    0.29310048E+01    0.27242822E+00
    0.29021979E+01    0.25784271E+00
    0.28824417E+01    0.22965200E+00
    0.28737854E+01    0.19469982E+00
    0.28765645E+01    0.15956566E+00
    0.28895799E+01    0.12993101E+00
    0.29102865E+01    0.11024923E+00
    0.29352786E+01    0.10334602E+00
    0.29606819E+01    0.11035696E+00
    0.29825505E+01    0.13072613E+00
    0.29968068E+01    0.16193786E+00
    0.30000835E+01    0.19998300E+00
    0.29895943E+01    0.23746447E+00
    0.29657376E+01    0.26481842E+00
    0.29341867E+01    0.27292838E+00
    0.29046840E+01    0.26011572E+00
    0.28838722E+01    0.23293502E+00
    0.28740538E+01    0.19829858E+00
    0.28757419E+01    0.16285030E+00
    0.28878107E+01    0.13244972E+00
    0.29078787E+01    0.11160357E+00
    0.29326479E+01    0.10330277E+00
    0.29582226E+01    0.10890422E+00
    0.29805838E+01    0.12795050E+00
    0.29958072E+01    0.15819087E+00
    0.30004087E+01    0.19580510E+00
    0.29914321E+01    0.23375474E+00
    0.29688335E+01    0.26270837E+00
    0.29376575E+01    0.27316313E+00
    0.29074887E+01    0.26234256E+00
    0.28855771E+01    0.23629819E+00
    0.28745451E+01    0.20208102E+00
    0.28750296E+01    0.16647088E+00
    0.28861394E+01    0.13525051E+00
    0.29055023E+01    0.11325000E+00
    0.29299061E+01    0.10355371E+00
    0.29556126E+01    0.10767555E+00
    0.29785485E+01    0.12542108E+00
    0.29946875E+01    0.15468357E+00
    0.30005224E+01    0.19175165E+00
    0.29930176E+01    0.23002240E+00
    0.29717339E+01    0.26036907E+00
    0.29410501E+01    0.27307605E+00
    0.29103464E+01    0.26429010E+00
    0.28874047E+01    0.23947691E+00
    0.28751914E+01    0.20577932E+00
    0.28744952E+01    0.17007663E+00
    0.28845737E+01    0.13817236E+00
    0.29032411E+01    0.11503065E+00
    0.29273108E+01    0.10397597E+00
    0.29530266E+01    0.10666676E+00
    0.29763702E+01    0.12303397E+00
    0.29934272E+01    0.15128791E+00
    0.30004646E+01    0.18777011E+00
    0.29944060E+01    0.22626307E+00
    0.29744324E+01    0.25790755E+00
    0.29443266E+01    0.27274956E+00
    0.29132004E+01    0.26600642E+00
    0.28892846E+01    0.24245008E+00
    0.28759456E+01    0.20928550E+00
    0.28741487E+01    0.17350481E+00
    0.28832242E+01    0.14105014E+00
    0.29011473E+01    0.11690577E+00
    0.29248394E+01    0.10456677E+00
    0.29505147E+01    0.10588265E+00
    0.29742939E+01    0.12097048E+00
    0.29920703E+01    0.14812891E+00
    0.30002194E+01    0.18392907E+00
    0.29955652E+01    0.22249167E+00
    0.29769478E+01    0.25525137E+00
    0.29475340E+01    0.27213295E+00
    0.29161093E+01    0.26746122E+00
    0.28912867E+01    0.24524654E+00
    0.28768468E+01    0.21277303E+00
    0.28738871E+01    0.17708373E+00
    0.28819492E+01    0.14405306E+00
    0.28990463E+01    0.11895327E+00
    0.29222476E+01    0.10532373E+00
    0.29479111E+01    0.10520264E+00
    0.29719988E+01    0.11889180E+00
    0.29905708E+01    0.14492459E+00
    0.29998547E+01    0.18000169E+00
    0.29966290E+01    0.21856771E+00
