 #  R                 Z
    0.29927576E+01    0.26412468E+00
    0.29657944E+01    0.31836341E+00
    0.29260798E+01    0.35224289E+00
    0.28820785E+01    0.36106185E+00
    0.28416963E+01    0.34507322E+00
    0.28109858E+01    0.30837975E+00
    0.27938295E+01    0.25765741E+00
    0.27921879E+01    0.20090875E+00
    0.28063035E+01    0.14672852E+00
    0.28345691E+01    0.10338334E+00
    0.28734042E+01    0.78055392E-01
    0.29171219E+01    0.76060931E-01
    0.29582280E+01    0.99534312E-01
    0.29883995E+01    0.14602521E+00
    0.30003543E+01    0.20758653E+00
    0.29905841E+01    0.27124907E+00
    0.29617109E+01    0.32357110E+00
    0.29210404E+01    0.35469576E+00
    0.28770241E+01    0.36051111E+00
    0.28374698E+01    0.34179981E+00
    0.28081740E+01    0.30305950E+00
    0.27927599E+01    0.25115720E+00
    0.27929859E+01    0.19426482E+00
    0.28088768E+01    0.14092926E+00
    0.28385949E+01    0.99343454E-01
    0.28783501E+01    0.76482081E-01
    0.29222203E+01    0.77403442E-01
    0.29625171E+01    0.10380548E+00
    0.29908458E+01    0.15252775E+00
    0.30003699E+01    0.21501316E+00
    0.29881646E+01    0.27805535E+00
    0.29575258E+01    0.32835489E+00
    0.29160101E+01    0.35670279E+00
    0.28721082E+01    0.35956228E+00
    0.28334863E+01    0.33826956E+00
    0.28056417E+01    0.29765476E+00
    0.27919587E+01    0.24473577E+00
    0.27940129E+01    0.18780331E+00
    0.28116232E+01    0.13540170E+00
    0.28427346E+01    0.95624482E-01
    0.28833140E+01    0.75281865E-01
    0.29271686E+01    0.79128509E-01
    0.29664899E+01    0.10833875E+00
    0.29929531E+01    0.15912643E+00
    0.30000561E+01    0.22231037E+00
    0.29855135E+01    0.28453471E+00
    0.29532306E+01    0.33272061E+00
    0.29109674E+01    0.35825418E+00
    0.28673391E+01    0.35822078E+00
    0.28297328E+01    0.33446278E+00
    0.28033730E+01    0.29208886E+00
    0.27914337E+01    0.23828757E+00
    0.27952995E+01    0.18146829E+00
    0.28145881E+01    0.13011448E+00
    0.28470154E+01    0.92255056E-01
    0.28883113E+01    0.74496444E-01
    0.29320777E+01    0.81268439E-01
    0.29702796E+01    0.11323476E+00
    0.29948013E+01    0.16599908E+00
    0.29994224E+01    0.22970477E+00
    0.29825628E+01    0.29090771E+00
    0.29487421E+01    0.33681158E+00
    0.29058757E+01    0.35945783E+00
    0.28626341E+01    0.35654974E+00
    0.28260964E+01    0.33033545E+00
    0.28012852E+01    0.28628122E+00
    0.27911337E+01    0.23174381E+00
    0.27968218E+01    0.17515260E+00
    0.28177592E+01    0.12500140E+00
    0.28514386E+01    0.89171221E-01
    0.28933607E+01    0.74069847E-01
    0.29368824E+01    0.83791934E-01
    0.29738921E+01    0.11845680E+00
    0.29964077E+01    0.17313709E+00
    0.29984846E+01    0.23721687E+00
    0.29793127E+01    0.29721767E+00
    0.29439404E+01    0.34069478E+00
    0.29006621E+01    0.36034036E+00
    0.28579218E+01    0.35453696E+00
    0.28225501E+01    0.32591228E+00
    0.27993487E+01    0.28023294E+00
    0.27910332E+01    0.22502300E+00
    0.27985826E+01    0.16876495E+00
    0.28211845E+01    0.11993493E+00
    0.28560929E+01    0.86274972E-01
    0.28985098E+01    0.73987874E-01
    0.29416249E+01    0.86701528E-01
    0.29773567E+01    0.12403622E+00
    0.29977381E+01    0.18051255E+00
    0.29972186E+01    0.24483336E+00
    0.29757598E+01    0.30342114E+00
    0.29390083E+01    0.34429421E+00
    0.28954218E+01    0.36090802E+00
    0.28532589E+01    0.35221130E+00
    0.28191335E+01    0.32124991E+00
    0.27975867E+01    0.27404713E+00
    0.27911275E+01    0.21825973E+00
    0.28005343E+01    0.16245351E+00
    0.28247786E+01    0.11503487E+00
    0.28608703E+01    0.83627903E-01
    0.29037378E+01    0.74198641E-01
    0.29464306E+01    0.89944087E-01
    0.29807592E+01    0.12997707E+00
    0.29988498E+01    0.18812746E+00
    0.29956719E+01    0.25253169E+00
    0.29719694E+01    0.30951505E+00
    0.29339031E+01    0.34767514E+00
    0.28900688E+01    0.36117130E+00
    0.28485502E+01    0.34950707E+00
    0.28157592E+01    0.31617189E+00
    0.27959681E+01    0.26749964E+00
    0.27914437E+01    0.21128096E+00
    0.28027492E+01    0.15607290E+00
    0.28286313E+01    0.11023433E+00
    0.28658724E+01    0.81217207E-01
    0.29091436E+01    0.74752907E-01
    0.29512601E+01    0.93621788E-01
    0.29839973E+01    0.13632623E+00
    0.29996525E+01    0.19599421E+00
    0.29937811E+01    0.26022447E+00
    0.29678929E+01    0.31541706E+00
    0.29286873E+01    0.35073611E+00
    0.28847547E+01    0.36112380E+00
    0.28439644E+01    0.34654308E+00
    0.28125584E+01    0.31093083E+00
    0.27945389E+01    0.26086173E+00
    0.27919572E+01    0.20429277E+00
    0.28051523E+01    0.14978812E+00
    0.28326330E+01    0.10563582E+00
    0.28709509E+01    0.79095032E-01
    0.29145069E+01    0.75644424E-01
    0.29559424E+01    0.97603923E-01
    0.29869525E+01    0.14284633E+00
    0.30001203E+01    0.20378688E+00
    0.29916162E+01    0.26766406E+00
    0.29637121E+01    0.32091101E+00
    0.29235494E+01    0.35339528E+00
    0.28795411E+01    0.36069254E+00
    0.28395839E+01    0.34331294E+00
    0.28096126E+01    0.30559693E+00
    0.27933565E+01    0.25427911E+00
    0.27926791E+01    0.19749168E+00
    0.28077033E+01    0.14378165E+00
    0.28367069E+01    0.10137111E+00
    0.28759977E+01    0.77339166E-01
    0.29197416E+01    0.76869973E-01
    0.29604017E+01    0.10184038E+00
    0.29896047E+01    0.14946589E+00
    0.30002845E+01    0.21145788E+00
    0.29892509E+01    0.27476015E+00
    0.29594734E+01    0.32598889E+00
    0.29184118E+01    0.35564385E+00
    0.28744938E+01    0.35993086E+00
    0.28354399E+01    0.33988693E+00
    0.28069146E+01    0.30019324E+00
    0.27924094E+01    0.24778711E+00
    0.27935942E+01    0.19087870E+00
    0.28103951E+01    0.13803264E+00
    0.28408505E+01    0.97420490E-01
    0.28810236E+01    0.75923718E-01
    0.29248897E+01    0.78410038E-01
    0.29646620E+01    0.10633089E+00
    0.29919529E+01    0.15615701E+00
    0.30001535E+01    0.21899721E+00
    0.29866704E+01    0.28157953E+00
    0.29551395E+01    0.33069968E+00
    0.29132729E+01    0.35750468E+00
    0.28695312E+01    0.35879615E+00
    0.28314623E+01    0.33615452E+00
    0.28044361E+01    0.29459474E+00
    0.27917076E+01    0.24121247E+00
    0.27947482E+01    0.18435953E+00
    0.28132669E+01    0.13254789E+00
    0.28450830E+01    0.93830313E-01
    0.28860441E+01    0.74897530E-01
    0.29298620E+01    0.80335494E-01
    0.29686271E+01    0.11108869E+00
    0.29940011E+01    0.16299390E+00
    0.29997090E+01    0.22648350E+00
    0.29838550E+01    0.28814176E+00
    0.29507265E+01    0.33503394E+00
    0.29081271E+01    0.35895761E+00
    0.28647003E+01    0.35731002E+00
    0.28276800E+01    0.33215889E+00
    0.28021869E+01    0.28882681E+00
    0.27912535E+01    0.23460494E+00
    0.27961452E+01    0.17790846E+00
    0.28163598E+01    0.12723383E+00
    0.28494802E+01    0.90521793E-01
    0.28911249E+01    0.74245784E-01
    0.29347682E+01    0.82661671E-01
    0.29723517E+01    0.11616401E+00
    0.29957460E+01    0.17003003E+00
    0.29989287E+01    0.23394953E+00
    0.29807539E+01    0.29450027E+00
    0.29460597E+01    0.33904498E+00
    0.29029243E+01    0.35999604E+00
    0.28599465E+01    0.35543398E+00
    0.28240799E+01    0.32787763E+00
    0.28001691E+01    0.28289447E+00
    0.27910499E+01    0.22794554E+00
    0.27977960E+01    0.17151229E+00
    0.28196893E+01    0.12208707E+00
    0.28540922E+01    0.87467349E-01
    0.28963247E+01    0.73965922E-01
    0.29396460E+01    0.85413430E-01
    0.29759227E+01    0.12162851E+00
    0.29972240E+01    0.17737039E+00
    0.29978054E+01    0.24161379E+00
    0.29773286E+01    0.30080292E+00
    0.29411591E+01    0.34281343E+00
    0.28976439E+01    0.36071963E+00
    0.28552106E+01    0.35322924E+00
    0.28205653E+01    0.32327615E+00
    0.27983086E+01    0.27672716E+00
    0.27910481E+01    0.22118706E+00
    0.27996508E+01    0.16517503E+00
    0.28231877E+01    0.11712747E+00
    0.28587952E+01    0.84708939E-01
    0.29014865E+01    0.74041475E-01
    0.29443648E+01    0.88482444E-01
    0.29793182E+01    0.12735611E+00
    0.29984208E+01    0.18482092E+00
    0.29963895E+01    0.24923578E+00
    0.29736702E+01    0.30690682E+00
    0.29361381E+01    0.34627271E+00
    0.28924118E+01    0.36114149E+00
    0.28505837E+01    0.35076168E+00
    0.28171918E+01    0.31844125E+00
    0.27966250E+01    0.27037843E+00
    0.27912537E+01    0.21433889E+00
    0.28017271E+01    0.15885354E+00
    0.28268918E+01    0.11230634E+00
    0.28636469E+01    0.82209206E-01
    0.29067403E+01    0.74437778E-01
    0.29491373E+01    0.91921899E-01
    0.29825964E+01    0.13344838E+00
    0.29993482E+01    0.19246264E+00
    0.29946779E+01    0.25680800E+00
