# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  1.958257322910365E+00  2.725619833510522E+17  2.061687102879614E+01  1.334234774315267E+02  9.003231348471088E-01  2.516770937897026E-03  4.050430890694208E-03  1.039036447884376E+00
  1.967663308532549E+00  6.055516491185505E+17  2.649183270431728E+01  4.531639198893213E+02  2.570239360387249E+00  1.727865032991296E-03  2.266301426612240E-02  1.026513570444989E+00
  1.977069294154732E+00  1.356535469093048E+18  4.123874200640408E+01  1.716735424888025E+03  8.962866697119132E+00  8.896510766723620E-04  1.418973547777276E-01  1.013897590353233E+00
  1.986475279776916E+00  2.907250249407604E+18  7.527383956052367E+01  5.733916357440228E+03  3.506201413805654E+01  3.607544675042520E-04  8.805340512521540E-01  1.001187392382082E+00
  1.995881265399099E+00  5.608631831531987E+18  1.420729256319797E+02  7.198229817650994E+03  1.276669935548284E+02  1.391268127331689E-04  4.502241788832587E+00  9.883825978568588E-01
  2.005287251021283E+00  9.200066256980015E+18  2.440396629973349E+02 -1.036637008215496E+04  3.597176492783733E+02  6.179981808540668E-05  1.587710826698250E+01  9.754816206549625E-01
  2.014693236643466E+00  1.266371105377630E+19  3.613014221591225E+02  2.988122846820132E+03  7.330625593763291E+02  3.430625528339600E-05  3.660295170688364E+01  9.624803907335095E-01
  2.024099222265650E+00  1.521871427833150E+19  4.710085337361451E+02  2.147904698841806E+04  1.148463280813108E+03  2.304807497109669E-05  6.035727203601009E+01  9.493797516448772E-01
  2.033505207887834E+00  1.686755774806675E+19  5.669957635671751E+02  3.669571866578014E+04  1.532295036168763E+03  1.745050906195668E-05  8.134925991318786E+01  9.361823565771975E-01
  2.042911193510017E+00  1.794500365424891E+19  6.541167128618304E+02  5.489069774420139E+04  1.880655168014145E+03  1.408299266719181E-05  9.889492669685302E+01  9.228903684110842E-01
  2.052317179132201E+00  1.872630710671095E+19  7.382629881669268E+02  7.687820419828652E+04  2.214999398640760E+03  1.174522057663574E-05  1.144113522960168E+02  9.095065602261069E-01
  2.061723164754383E+00  1.936369430361847E+19  8.232307275065375E+02  1.014949344344614E+05  2.553995719960830E+03  9.974599412225263E-06  1.291803656753699E+02  8.960345877136936E-01
  2.071129150376568E+00  1.992954189865824E+19  9.109951029074120E+02  1.276857738525390E+05  2.908866121056277E+03  8.568479419912447E-06  1.439500901777787E+02  8.824787761757024E-01
  2.080535135998750E+00  2.045603902290921E+19  1.002461744254618E+03  1.548040568238759E+05  3.285486800014117E+03  7.422942721278951E-06  1.590875812567815E+02  8.688438935531501E-01
  2.089941121620933E+00  2.095701243980298E+19  1.097982066756129E+03  1.824911030159262E+05  3.686676181384927E+03  6.475673612196938E-06  1.747493840661825E+02  8.551350056284960E-01
  2.099347107243118E+00  2.143826036780665E+19  1.197633000484399E+03  2.105479664610167E+05  4.113615261537196E+03  5.684498942317460E-06  1.909854346142429E+02  8.413573951907134E-01
  2.108753092865301E+00  2.190215801675978E+19  1.301356384300566E+03  2.388568835357512E+05  4.566605863667941E+03  5.018610039502774E-06  2.077931502371407E+02  8.275165181023734E-01
  2.118159078487484E+00  2.234965207348836E+19  1.409025898980736E+03  2.673397060460279E+05  5.045452449535950E+03  4.454504046686496E-06  2.251439644713801E+02  8.136179655932005E-01
  2.127565064109668E+00  2.278111146324547E+19  1.520478945268075E+03  2.959373021970174E+05  5.549651282197243E+03  3.973810981522828E-06  2.429961043370744E+02  7.996673976613974E-01
  2.136971049731852E+00  2.319668178534236E+19  1.635530645913842E+03  3.245994027490728E+05  6.078479075643250E+03  3.561966185701645E-06  2.613005721177080E+02  7.856706310839610E-01
  2.146377035354035E+00  2.359643530934481E+19  1.753981096734814E+03  3.532800373645210E+05  6.631040539514490E+03  3.207306458594999E-06  2.800041970144148E+02  7.716335996599272E-01
  2.155783020976219E+00  2.398043273950437E+19  1.875618963061714E+03  3.819354745214453E+05  7.206294489843149E+03  2.900420053508135E-06  2.990512535068706E+02  7.575623377174471E-01
  2.165189006598403E+00  2.434874823220295E+19  2.000223466813003E+03  4.105233466245724E+05  7.803070527189913E+03  2.633662041295252E-06  3.183844328333943E+02  7.434629715495761E-01
  2.174594992220585E+00  2.470147924107843E+19  2.127565706250100E+03  4.390023310608824E+05  8.420081944396523E+03  2.400785444960413E-06  3.379455264531534E+02  7.293417107262272E-01
  2.184000977842769E+00  2.503875005504680E+19  2.257409702444535E+03  4.673320825712713E+05  9.055937306635886E+03  2.196656958906570E-06  3.576759763837375E+02  7.152048392486872E-01
  2.193406963464952E+00  2.536071471169492E+19  2.389514180060675E+03  4.954734599946284E+05  9.709155924841540E+03  2.017034856942507E-06  3.775174850146546E+02  7.010586172429770E-01
  2.202812949087136E+00  2.566755701524491E+19  2.523633745320933E+03  5.233886582509127E+05  1.037818089843415E+04  1.858396301698432E-06  3.974124987323744E+02  6.869092479915113E-01
  2.212218934709319E+00  2.595948351969603E+19  2.659517226842081E+03  5.510407384535364E+05  1.106137791736327E+04  1.717804000898866E-06  4.173042301003869E+02  6.727631444653397E-01
  2.221624920331503E+00  2.623672623127556E+19  2.796910043639747E+03  5.783940564041638E+05  1.175705411507898E+04  1.592795697349987E-06  4.371372586338638E+02  6.586267632875600E-01
  2.231030905953686E+00  2.649954153686104E+19  2.935555201192641E+03  6.054143709034675E+05  1.246347040588097E+04  1.481298027263054E-06  4.568578949010512E+02  6.445065894301697E-01
