# R                      ne                     Te                     pres                   zj                     Psi_N                  
# time step #000000
  1.862023669361640E+00  3.000163613112644E+17  1.130330157164048E+01  1.086652353405317E+00  7.764377917338039E+01  1.039419530596795E+00
  1.872031162852009E+00  3.860869990053626E+17  1.162894550676357E+01  1.438685556772092E+00  1.785074143556901E+02  1.029581854084679E+00
  1.882038656342377E+00  5.509725889663087E+17  1.292808171301517E+01  2.282466711190512E+00  4.546390044935791E+02  1.019657524910961E+00
  1.892046149832745E+00  8.549789898338931E+17  1.652708432403001E+01  4.527850262859001E+00  1.319613473088656E+03  1.009645190316118E+00
  1.902053643323113E+00  1.377042608813270E+18  2.476528384931959E+01  1.092775775996995E+01  4.230926867575763E+03  9.995434950064497E-01
  1.912061136813482E+00  2.173482017705948E+18  4.060862308379565E+01  2.828229749643404E+01  1.437174017324392E+04  9.893513831658529E-01
  1.922068630303849E+00  3.192984041675895E+18  6.560500998005358E+01  6.712342749162070E+01  4.311157194251564E+04  9.790686110557854E-01
  1.932076123794218E+00  4.253255059381256E+18  9.754677901868314E+01  1.329458336341593E+02  7.448790182342716E+04  9.686969674194363E-01
  1.942083617284586E+00  5.158178402840922E+18  1.316255940866410E+02  2.175590099570937E+02  9.079383489971205E+04  9.582385347111191E-01
  1.952091110774955E+00  5.825536941673400E+18  1.638364116755407E+02  3.058346999472841E+02  1.002623630066592E+05  9.476938058093178E-01
  1.962098604265323E+00  6.288529502951631E+18  1.929068053168735E+02  3.887201219574422E+02  1.088323578381379E+05  9.370623166009145E-01
  1.972106097755691E+00  6.614149015817363E+18  2.192345931845005E+02  4.646473117308408E+02  1.189812730643778E+05  9.263435236969269E-01
  1.982113591246059E+00  6.859223748061288E+18  2.436790188256798E+02  5.355912555472728E+02  1.313711833697455E+05  9.155370225215955E-01
  1.992121084736428E+00  7.060401927326321E+18  2.669904760407106E+02  6.040398140719487E+02  1.459310558667291E+05  9.046426305170628E-01
  2.002128578226795E+00  7.238417966596604E+18  2.896793864769438E+02  6.718953254124719E+02  1.624395048137722E+05  8.936603589080859E-01
  2.012136071717165E+00  7.404332324783409E+18  3.120602002658593E+02  7.403970100924250E+02  1.807134848177242E+05  8.825903966514177E-01
  2.022143565207532E+00  7.563902574506426E+18  3.343199203272331E+02  8.103050614840774E+02  2.006353439801581E+05  8.714331741348073E-01
  2.032151058697901E+00  7.720075960588900E+18  3.565693621187155E+02  8.820759240704272E+02  2.221391224886354E+05  8.601892903971895E-01
  2.042158552188269E+00  7.874345345594515E+18  3.788759173294083E+02  9.559866539019981E+02  2.451927070454296E+05  8.488595045916739E-01
  2.052166045678636E+00  8.027470206542944E+18  4.012832994683308E+02  1.032214983173500E+03  2.697839934483201E+05  8.374447331870363E-01
  2.062173539169005E+00  8.179845763187077E+18  4.238227598865955E+02  1.110886683377062E+03  2.959118594656102E+05  8.259460497086120E-01
  2.072181032659373E+00  8.331688427497798E+18  4.465192339549077E+02  1.192102400107616E+03  3.235807239021915E+05  8.143646857989393E-01
  2.082188526149741E+00  8.483128205236113E+18  4.693946540330034E+02  1.275952597367899E+03  3.527974183931264E+05  8.027020210527817E-01
  2.092196019640109E+00  8.634253969401311E+18  4.924696329929195E+02  1.362525520552272E+03  3.835693329380341E+05  7.909596069190576E-01
  2.102203513130477E+00  8.785135847098581E+18  5.157643502127266E+02  1.451911591417273E+03  4.159033771956919E+05  7.791391694962214E-01
  2.112211006620846E+00  8.935836249471603E+18  5.392990138374084E+02  1.544205868202837E+03  4.498054104533523E+05  7.672426006499270E-01
  2.122218500111214E+00  9.086415131373422E+18  5.630940673864368E+02  1.639509347145887E+03  4.852798838190690E+05  7.552719599374419E-01
  2.132225993601582E+00  9.236932489269887E+18  5.871702725730986E+02  1.737929679884426E+03  5.223296117687736E+05  7.432294763563460E-01
  2.142233487091951E+00  9.387449505459388E+18  6.115487259397642E+02  1.839581572071756E+03  5.609556142765281E+05  7.311175498782764E-01
  2.152240980582320E+00  9.538029027919077E+18  6.362508390366595E+02  1.944587002284187E+03  6.011569979271159E+05  7.189387527422709E-01
  2.162248474072687E+00  9.688735719181222E+18  6.612982972045888E+02  2.053075331875774E+03  6.429308593334757E+05  7.066958304904217E-01
  2.172255967563056E+00  9.839636033789764E+18  6.867130045072389E+02  2.165183340250202E+03  6.862722024918470E+05  6.943917027342593E-01
  2.182263461053424E+00  9.990798100082459E+18  7.125170185155064E+02  2.281055201030209E+03  7.311738657881657E+05  6.820294636460950E-01
  2.192270954543793E+00  1.014229154183707E+19  7.387324767654518E+02  2.400842404848505E+03  7.776264567091274E+05  6.696123821706609E-01
  2.202278448034161E+00  1.029418725629263E+19  7.653815157902708E+02  2.524703629438019E+03  8.256182934293031E+05  6.571439019549635E-01
  2.212285941524528E+00  1.044655715607294E+19  7.924861831804947E+02  2.652804555017720E+03  8.751353529698200E+05  6.446276410025713E-01
  2.222293435014896E+00  1.059947387861330E+19  8.200683429705418E+02  2.785317621732062E+03  9.261612259407497E+05  6.320673910470603E-01
  2.232300928505266E+00  1.075301046469294E+19  8.481495745493256E+02  2.922421724995753E+03  9.786770779186047E+05  6.194671166575001E-01
  2.242308421995633E+00  1.090723988569038E+19  8.767510426417660E+02  3.064301730942476E+03  1.032661574925455E+06  6.068309640271646E-01
  2.252315915486003E+00  1.106223468832158E+19  9.058933870387792E+02  3.211148040927885E+03  1.088090862591977E+06  5.941632573817256E-01
  2.262323408976370E+00  1.121806680697318E+19  9.355966445211154E+02  3.363156276919251E+03  1.144938626039707E+06  5.814684790476436E-01
  2.272330902466738E+00  1.137480699828149E+19  9.658801007036302E+02  3.520526566494156E+03  1.203176035850748E+06  5.687512780480166E-01
  2.282338395957106E+00  1.153252437861766E+19  9.967621602608388E+02  3.683462855120027E+03  1.262771744164819E+06  5.560164678644226E-01
  2.292345889447474E+00  1.169128593764740E+19  1.028260212703060E+03  3.852172128204559E+03  1.323691887987969E+06  5.432690238995892E-01
  2.302353382937842E+00  1.185115602883244E+19  1.060390494025503E+03  4.026863537345218E+03  1.385900099255658E+06  5.305140807129340E-01
  2.312360876428210E+00  1.201219583876368E+19  1.093167944784220E+03  4.207747426217213E+03  1.449357521493423E+06  5.177569290427075E-01
  2.322368369918578E+00  1.217446283633768E+19  1.126606064936328E+03  4.395034250351908E+03  1.514022832343200E+06  5.050030127099711E-01
  2.332375863408948E+00  1.233800971988157E+19  1.160716664213845E+03  4.588932803749856E+03  1.579852077675391E+06  4.922579629015518E-01
