# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000010
  1.958198230503847E+00  6.071020130401408E+17  1.830971173264880E+01  2.546732843884400E+01  1.780957495974768E+00  5.787269130834393E-04  1.982585679608538E-02  1.039151443183180E+00
  1.967642359281012E+00  1.566352279389210E+18  2.111842303061439E+01 -7.181081461834575E+02  5.299822243609759E+00  4.672009441926784E-04  1.634654229016003E-01  1.027078514584152E+00
  1.977086488058176E+00  2.783039197627853E+18  2.505129556170166E+01 -1.699554201342464E+03  1.117017273632080E+01  3.616185106070853E-04  5.778062162095132E-01  1.014910791953119E+00
  1.986530616835340E+00  4.419564014910072E+18  3.188105328252861E+01 -3.693182647133621E+03  2.257472481348501E+01  2.518818925663230E-04  1.647255994461325E+00  1.002646176799190E+00
  1.995974745612505E+00  6.497035003749102E+18  4.962465301933935E+01 -8.961914859004008E+03  5.165627254306771E+01  1.297029084467970E-04  4.424513822352148E+00  9.902843846798224E-01
  2.005418874389671E+00  8.883809832480154E+18  8.556731808349488E+01 -1.990010529803820E+04  1.217916596648153E+02  5.728409537985441E-05  1.069014602182657E+01  9.778204381063494E-01
  2.014863003166834E+00  1.135017974364913E+19  1.265586193117439E+02 -2.758266306705481E+04  2.301467478932007E+02  3.184625344877390E-05  2.076999115474670E+01  9.652543636246353E-01
  2.024307131944000E+00  1.363591867576901E+19  1.644580033397581E+02 -2.343028863771738E+04  3.592938559872326E+02  2.149876040164953E-05  3.360196529189393E+01  9.525767788287782E-01
  2.033751260721162E+00  1.555933012279022E+19  1.974245645878087E+02 -9.081142247593463E+03  4.921556318884431E+02  1.634534743003037E-05  4.740640680747217E+01  9.397927309934608E-01
  2.043195389498328E+00  1.705697282013602E+19  2.256011152803174E+02  1.151476199915819E+04  6.165290925477891E+02  1.338086151691019E-05  6.049606626506036E+01  9.268978850801081E-01
  2.052639518275492E+00  1.817767536749458E+19  2.515291925964492E+02  3.367999857362929E+04  7.325497338882508E+02  1.136614898522567E-05  7.223928460603534E+01  9.139013489345249E-01
  2.062083647052656E+00  1.902333352441132E+19  2.774808278794948E+02  5.647627407429174E+04  8.457265775114868E+02  9.809490866248094E-06  8.281932704344672E+01  9.008015059219260E-01
  2.071527775829821E+00  1.969444838333701E+19  3.044344651319595E+02  7.987481469501047E+04  9.606120138431809E+02  8.536015857890370E-06  9.267034588858559E+01  8.876080591712577E-01
  2.080971904606985E+00  2.026755668250608E+19  3.329414797653804E+02  1.041634337976244E+05  1.081134376637431E+03  7.463526537604022E-06  1.022583161502912E+02  8.743199208009405E-01
  2.090416033384149E+00  2.078501204863638E+19  3.629278352034365E+02  1.289799447564258E+05  1.208595391375110E+03  6.557911056715168E-06  1.118279956168272E+02  8.609473959039363E-01
  2.099860162161314E+00  2.127007747222662E+19  3.944847927381171E+02  1.542612764414120E+05  1.344341831710247E+03  5.786960800520643E-06  1.215517881829913E+02  8.474896395520083E-01
  2.109304290938478E+00  2.173249542207166E+19  4.274033284945380E+02  1.797318664757099E+05  1.488188252079741E+03  5.131438041795159E-06  1.314665606664242E+02  8.339577328784411E-01
  2.118748419715643E+00  2.217692478326629E+19  4.617534379463017E+02  2.054331185056220E+05  1.640672263481843E+03  4.569626802491630E-06  1.416108779036553E+02  8.203507805473770E-01
  2.128192548492807E+00  2.260516924573454E+19  4.973299040799808E+02  2.312049130546829E+05  1.801203208136294E+03  4.088171240889977E-06  1.519610773325518E+02  8.066803862316161E-01
  2.137636677269972E+00  2.301814917975114E+19  5.342053605626172E+02  2.571202043357173E+05  1.970103384581361E+03  3.672261309045177E-06  1.625233666225110E+02  7.929459797233350E-01
  2.147080806047137E+00  2.341609220574078E+19  5.721941053522501E+02  2.830647808816185E+05  2.146684270364492E+03  3.312690561395647E-06  1.732608205338260E+02  7.791587614385441E-01
  2.156524934824300E+00  2.379923173069725E+19  6.113327831516666E+02  3.090864004388239E+05  2.331046830284639E+03  2.999710966763173E-06  1.841661466645859E+02  7.653198452453711E-01
  2.165969063601466E+00  2.416755979959045E+19  6.514878832196057E+02  3.351142463858858E+05  2.522606554041344E+03  2.726694142795276E-06  1.952050873932768E+02  7.514380706475754E-01
  2.175413192378629E+00  2.452115305605852E+19  6.926136401888618E+02  3.611446307609337E+05  2.721086222217156E+03  2.487478749128243E-06  2.063553997088163E+02  7.375184953663287E-01
  2.184857321155794E+00  2.486011932348506E+19  7.346670303886680E+02  3.871593584038152E+05  2.926200864894127E+03  2.276984707186963E-06  2.175949909682970E+02  7.235652126713413E-01
  2.194301449932958E+00  2.518445551390094E+19  7.775055189541536E+02  4.131058062697971E+05  3.137230448121930E+03  2.091417409213612E-06  2.288859045382230E+02  7.095883973021656E-01
  2.203745578710123E+00  2.549440333242246E+19  8.211434512071594E+02  4.389916249609208E+05  3.354086517784136E+03  1.926936437110111E-06  2.402146765696776E+02  6.955886490368013E-01
  2.213189707487288E+00  2.578997408878761E+19  8.654054091997227E+02  4.647540824567617E+05  3.575863120938553E+03  1.781010711210802E-06  2.515382909930243E+02  6.815781974476334E-01
  2.222633836264453E+00  2.607145431005621E+19  9.102916372762550E+02  4.903940070154035E+05  3.802385853303503E+03  1.650916507584413E-06  2.628417476820504E+02  6.675582402112380E-01
  2.232077965041617E+00  2.633897847872152E+19  9.556713338552511E+02  5.158650686453818E+05  4.032903791504471E+03  1.534733951513012E-06  2.740900188868446E+02  6.535379942812675E-01
  2.241522093818781E+00  2.659278184458635E+19  1.001471764221605E+03  5.411501161408637E+05  4.266903834441316E+03  1.430664746642468E-06  2.852578101678453E+02  6.395239498314472E-01
  2.250966222595946E+00  2.683317213221662E+19  1.047637370399476E+03  5.662164288317775E+05  4.503948059042437E+03  1.337147962177860E-06  2.963239908360615E+02  6.255189913091075E-01
  2.260410351373110E+00  2.706033026824912E+19  1.094034929800607E+03  5.910416864225892E+05  4.743235153108235E+03  1.252994478641789E-06  3.072552150052367E+02  6.115351006514695E-01
  2.269854480150275E+00  2.727464042171361E+19  1.140627589830003E+03  6.155948619166344E+05  4.984404517681794E+03  1.177009941745322E-06  3.180356791140947E+02  5.975732411501630E-01
  2.279298608927439E+00  2.747634705558521E+19  1.187296175978660E+03  6.398529723069791E+05  5.226710398853433E+03  1.108300006913956E-06  3.286367422478201E+02  5.836436830420599E-01
  2.288742737704603E+00  2.766579114667147E+19  1.233973747055190E+03  6.637965366877530E+05  5.469648139415020E+03  1.046012945258366E-06  3.390395552697722E+02  5.697522630817439E-01
  2.298186866481768E+00  2.784334581780183E+19  1.280576983856785E+03  6.873843749392893E+05  5.712648310996174E+03  9.894353025114315E-07  3.492249945895436E+02  5.559022355747156E-01
  2.307630995258932E+00  2.800928971530075E+19  1.327016754910868E+03  7.106190813453502E+05  5.955097509465889E+03  9.379535469275813E-07  3.591720497142512E+02  5.421055508460405E-01
  2.317075124036097E+00  2.816404483610390E+19  1.373219768950513E+03  7.334549296469378E+05  6.196485660044663E+03  8.910167516487437E-07  3.688663437141292E+02  5.283634518110232E-01
  2.326519252813261E+00  2.830793711847103E+19  1.419099054072756E+03  7.558840903805413E+05  6.436226332169526E+03  8.481582165046870E-07  3.782906470396749E+02  5.146854088734084E-01
  2.335963381590425E+00  2.844134467693415E+19  1.464592213103984E+03  7.778924620133077E+05  6.673861986448013E+03  8.089484707634622E-07  3.874333272998949E+02  5.010781493129738E-01
  2.345407510367590E+00  2.856468432736453E+19  1.509598690776346E+03  7.994353551360787E+05  6.908779221742742E+03  7.730430388179292E-07  3.962803010172961E+02  4.875440828668519E-01
  2.354851639144754E+00  2.867829502504532E+19  1.554079224990623E+03  8.205321709851687E+05  7.140635390492758E+03  7.400928478703532E-07  4.048243016375858E+02  4.740952291102262E-01
  2.364295767921919E+00  2.878261627541708E+19  1.597939280499076E+03  8.411367003225182E+05  7.368870350516388E+03  7.098319289568672E-07  4.130551704278075E+02  4.607332256991842E-01
  2.373739896699084E+00  2.887803237852474E+19  1.641114395894979E+03  8.612471407428661E+05  7.593059956354009E+03  6.820051541647264E-07  4.209662504151755E+02  4.474659167623448E-01
  2.383184025476248E+00  2.896494262648716E+19  1.683570157614561E+03  8.808542509455599E+05  7.812935996904258E+03  6.563705864240107E-07  4.285561243678274E+02  4.343012196638099E-01
  2.392628154253412E+00  2.904378461043967E+19  1.725189933040142E+03  8.999314353580254E+05  8.027873078716635E+03  6.327622572242963E-07  4.358157318439688E+02  4.212405269852701E-01
  2.402072283030577E+00  2.911493397493467E+19  1.765979141784304E+03  9.184832144272407E+05  8.237809684557014E+03  6.109667628350880E-07  4.427500920341759E+02  4.082956095362094E-01
  2.411516411807741E+00  2.917882775158827E+19  1.805845059516813E+03  9.364902622787321E+05  8.442259562520256E+03  5.908472404075105E-07  4.493553017767408E+02  3.954680974140833E-01
  2.420960540584905E+00  2.923586429520158E+19  1.844742665438536E+03  9.539430640794202E+05  8.640962187226080E+03  5.722584985484596E-07  4.556331083873029E+02  3.827649545414569E-01
  2.430404669362071E+00  2.928644226225237E+19  1.882660245646700E+03  9.708487129281057E+05  8.833828093697939E+03  5.550575460857209E-07  4.615901175782299E+02  3.701940429243198E-01
  2.439848798139235E+00  2.933097783417169E+19  1.919490024666068E+03  9.871750195386693E+05  9.020337272616529E+03  5.391593614257087E-07  4.672231359969601E+02  3.577562542874695E-01
  2.449292926916400E+00  2.936984244590940E+19  1.955277014573178E+03  1.002948896393622E+06  9.200687637860116E+03  5.244251331280947E-07  4.725462716393296E+02  3.454630470853255E-01
  2.458737055693564E+00  2.940343834862422E+19  1.989916643639254E+03  1.018139545119173E+06  9.374397783018590E+03  5.107914425733118E-07  4.775579668791587E+02  3.333147510594141E-01
  2.468181184470728E+00  2.943213006326075E+19  2.023422718112628E+03  1.032761132472080E+06  9.541544734969557E+03  4.981567356666366E-07  4.822698921677957E+02  3.213197775667785E-01
  2.477625313247893E+00  2.945628598176140E+19  2.055770300895302E+03  1.046811103946693E+06  9.702037530613285E+03  4.864453519792912E-07  4.866899606720115E+02  3.094830927145433E-01
  2.487069442025058E+00  2.947626398347209E+19  2.086889144336211E+03  1.060273594044923E+06  9.855580107257418E+03  4.756055014851373E-07  4.908212185851719E+02  2.978069796713613E-01
  2.496513570802221E+00  2.949239885102522E+19  2.116850257322209E+03  1.073177175996952E+06  1.000254724672604E+04  4.655439989728844E-07  4.946824169933068E+02  2.863014102447043E-01
  2.505957699579386E+00  2.950502830527333E+19  2.145535301573267E+03  1.085491882194732E+06  1.014243131290680E+04  4.562390377493199E-07  4.982715273194067E+02  2.749653849044841E-01
  2.515401828356551E+00  2.951446206654232E+19  2.173046656564974E+03  1.097252198893453E+06  1.027576818150091E+04  4.476023552013604E-07  5.016106913026659E+02  2.638097086273215E-01
