# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #001000
  1.958199699075630E+00  1.217804129489019E+18  1.848478815274828E+01 -7.282891414374075E+01  3.606686687160608E+00  5.705662531934619E-04  1.705040948676657E-01  1.037733066088883E+00
  1.967643901604157E+00  7.866416703398157E+18  2.257738747561058E+01 -2.046293875142108E+03  2.845590015595305E+01  4.248701493539303E-04  1.239946199439256E+01  1.026034863569116E+00
  1.977088104132686E+00  1.470309259811314E+19  2.703264854703969E+01 -4.704893378599838E+03  6.360591993926693E+01  3.262796205007615E-04  5.377167253321970E+01  1.014244360251294E+00
  1.986532306661215E+00  2.190379240902537E+19  3.228904911084112E+01 -7.863219674187179E+03  1.129200631167266E+02  2.499061108569507E-04  1.376275645220677E+02  1.002359009272358E+00
  1.995976509189742E+00  2.957372113524264E+19  3.860138909016851E+01 -1.112290264423354E+04  1.821685090499771E+02  1.899551404589523E-04  2.720789591381978E+02  9.903781772256011E-01
  2.005420711718271E+00  3.763790557921719E+19  4.561157538282548E+01 -1.391474293907368E+04  2.752055536467471E+02  1.474840957219972E-04  4.506897980495983E+02  9.782975064833235E-01
  2.014864914246799E+00  4.582514541372185E+19  5.284357022604127E+01 -1.598474387922212E+04  3.908655842753074E+02  1.188812123967844E-04  6.503563255577743E+02  9.661187086017040E-01
  2.024309116775326E+00  5.379359711593053E+19  6.046715624983025E+01 -1.818652202377796E+04  5.254217474814633E+02  9.719612817287246E-05  8.467031409923062E+02  9.538336506990639E-01
  2.033753319303856E+00  6.140254601083180E+19  7.049745423187639E+01 -2.367185739119200E+04  6.940430959436658E+02  7.664505149911356E-05  1.032031430156969E+03  9.414456769352080E-01
  2.043197521832383E+00  6.870512889721541E+19  8.454386604854918E+01 -3.527041470884999E+04  9.273204441123451E+02  5.908563128476243E-05  1.207289809312030E+03  9.289453712968876E-01
  2.052641724360912E+00  7.550840981642881E+19  1.069815716921234E+02 -4.940256487108086E+04  1.296503130627717E+03  4.357316192113509E-05  1.391017511999902E+03  9.163337566484790E-01
  2.062085926889439E+00  8.131666028513536E+19  1.355290443187201E+02 -3.170162989315771E+04  1.787928812777015E+03  3.106571197113480E-05  1.591782878760360E+03  9.036003478197108E-01
  2.071530129417968E+00  8.580168653293407E+19  1.544345511191420E+02  1.482385387322303E+04  2.146564144827381E+03  2.435006797167923E-05  1.762014529659800E+03  8.907533757097652E-01
  2.080974331946495E+00  8.895167957550478E+19  1.625869188860590E+02  4.613326481975226E+04  2.306068206901316E+03  2.224459977057785E-05  1.888118654935312E+03  8.777961459611312E-01
  2.090418534475024E+00  9.095806115685299E+19  1.680001235034833E+02  6.399322367090215E+04  2.386034376568393E+03  2.177644036608988E-05  1.985707119491394E+03  8.647407104265770E-01
  2.099862737003551E+00  9.209952676324308E+19  1.722204723718022E+02  7.313465525666415E+04  2.429438358262224E+03  2.185491390255076E-05  2.050884297374660E+03  8.515842675368084E-01
  2.109306939532080E+00  9.236077429249688E+19  1.758107075539471E+02  7.662102436432292E+04  2.454438289696444E+03  2.194924306691760E-05  2.076618076598435E+03  8.383335605588711E-01
  2.118751142060607E+00  9.148468658973265E+19  1.815678472407341E+02  7.621914973268434E+04  2.484919434389361E+03  2.158626600939056E-05  2.055684552057083E+03  8.249814050595521E-01
